nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
14,0.0,52,0.0413336227316051,0.0,1008107.99821417,1046426.34087751,1074690.57198186,1093811.67917707,1112932.78637228,1136318.93295304,1165800.49508593,1196944.44285596,0.1
15,0.0,53,0.0413336227316051,0.0,44200.603135574805,45925.320365441905,47197.149687246296,48057.126580710996,48917.1034741757,49970.3982184128,51298.2612307635,52701.0064790216,0.1
16,0.0,54,0.0413336227316051,0.0,2549413.45105163,2637748.83264601,2702973.62997285,2747181.85767732,2791390.08538179,2845171.91803468,2912964.7962122,2984578.86765251,0.1
17,0.0,55,0.0413336227316051,0.0,196499.68750591698,203179.150416323,208112.221568477,211457.13884488397,214802.056121291,218866.60488444398,223989.92283081898,229401.99593559103,0.1
18,0.0,56,0.0413336227316051,0.0,2989072.73889558,3094911.57199455,3173040.98919592,3225971.69823546,3278902.40727499,3343378.85212043,3424654.43467301,3510511.59907214,0.1
19,0.0,57,0.0413336227316051,0.0,625087.140702858,646672.7521291571,662611.696870442,673415.610746813,684219.524623184,697360.417999057,713924.665067347,731422.5538144541,0.1
20,0.0,58,0.0413336227316051,0.0,1484086.44107656,1531608.77964596,1566289.38502461,1589291.826989,1612294.26895339,1642020.50255912,1679532.17794632,1719167.1550979,0.1
21,0.0,59,0.0413336227316051,0.0,1835452.44783789,1894225.97358408,1937117.41189449,1965565.81438724,1994014.21688,2030778.30738477,2077171.08782281,2126189.87393886,0.1
22,0.0,60,0.0413336227316051,0.0,12440618.691390598,12838983.1512371,13129699.497374902,13322521.560517099,13515343.6236594,13764529.0667605,14078977.3610451,14411224.610219501,0.1
23,0.0,61,0.0413336227316051,0.0,911586.7807372421,949119.397405275,977163.222925088,996578.022129922,1015992.82133476,1038325.11898161,1066410.10047293,1096063.99534124,0.1
24,0.0,62,0.0413336227316051,0.0,714903.8989880941,744802.986655139,767135.063659672,782585.7652484679,798036.466837263,815840.906456496,838232.9293947209,861876.111101942,0.1
25,0.0,63,0.0413336227316051,0.0,488444.98277981795,508231.328700514,523021.045358347,533266.869678168,543512.693997991,555275.880489889,570068.328347979,585686.938186867,0.1
26,0.0,64,0.0413336227316051,0.0,192692.147809148,200581.781803277,206477.568543475,210560.167475717,214642.766407959,219335.83679859102,225237.69898438602,231469.23157598102,0.1
27,0.0,65,0.0413336227316051,0.0,790436.326089265,824677.0106220479,850231.6207661709,867887.1884187141,885542.756071257,905968.0716251009,931659.415172056,958786.9478066509,0.1
28,0.0,66,0.0413336227316051,0.0,563984.1615903539,587382.211285416,604861.808333302,616959.214663886,629056.62099447,642984.11128681,660499.728496023,678993.925524754,0.1
29,0.0,67,0.0413336227316051,0.0,171569.16308425402,179036.065364975,184608.21122268,188457.281634917,192306.35204715398,196761.52984529,202365.42453407898,208282.605567966,0.1
30,0.0,68,0.0413336227316051,0.0,465977.10968199896,485018.405458676,499248.29728477,509102.739103274,518957.180921776,530282.547263031,544524.880090666,559562.74903057,0.1
31,0.0,69,0.0413336227316051,0.0,70772.3172223375,73504.8216107401,75549.6673320776,76969.1620849802,78388.65683788281,80008.9909448408,82046.2256709319,84197.1605369791,0.1
32,0.0,70,0.0413336227316051,0.0,352532.964765,365722.160081375,375600.014431729,382466.563349465,389333.112267201,397140.37595670397,406955.17647372297,417317.48689545295,0.1
