nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
16,0,54,0.041333623,0.0,2549413.451,2637748.833,2702973.63,2747181.858,2791390.085,2845171.918,2912964.796,2984578.868,0.1
17,0,55,0.041333623,0.0,196499.6875,203179.1504,208112.2216,211457.1388,214802.0561,218866.6049,223989.9228,229401.9959,0.1
18,0,56,0.041333623,0.0,2989072.739,3094911.572,3173040.989,3225971.698,3278902.407,3343378.852,3424654.435,3510511.599,0.1
19,0,57,0.041333623,0.0,625087.1407,646672.7521,662611.6969,673415.6107,684219.5246,697360.418,713924.6651,731422.5538,0.1
20,0,58,0.041333623,0.0,1484086.441,1531608.78,1566289.385,1589291.827,1612294.269,1642020.503,1679532.178,1719167.155,0.1
21,0,59,0.041333623,0.0,1835452.448,1894225.974,1937117.412,1965565.814,1994014.217,2030778.307,2077171.088,2126189.874,0.1
22,0,60,0.041333623,0.0,12440618.69,12838983.15,13129699.5,13322521.56,13515343.62,13764529.07,14078977.36,14411224.61,0.1
23,0,61,0.041333623,0.0,911586.7807,949119.3974,977163.2229,996578.0221,1015992.821,1038325.119,1066410.1,1096063.995,0.1
24,0,62,0.041333623,0.0,714903.899,744802.9867,767135.0637,782585.7652,798036.4668,815840.9065,838232.9294,861876.1111,0.1
25,0,63,0.041333623,0.0,488444.9828,508231.3287,523021.0454,533266.8697,543512.694,555275.8805,570068.3283,585686.9382,0.1
26,0,64,0.041333623,0.0,192692.1478,200581.7818,206477.5685,210560.1675,214642.7664,219335.8368,225237.699,231469.2316,0.1
27,0,65,0.041333623,0.0,790436.3261,824677.0106,850231.6208,867887.1884,885542.7561,905968.0716,931659.4152,958786.9478,0.1
28,0,66,0.041333623,0.0,563984.1616,587382.2113,604861.8083,616959.2147,629056.621,642984.1113,660499.7285,678993.9255,0.1
29,0,67,0.041333623,0.0,171569.1631,179036.0654,184608.2112,188457.2816,192306.352,196761.5298,202365.4245,208282.6056,0.1
30,0,68,0.041333623,0.0,465977.1097,485018.4055,499248.2973,509102.7391,518957.1809,530282.5473,544524.8801,559562.749,0.1
31,0,69,0.041333623,0.0,70772.31722,73504.82161,75549.66733,76969.16208,78388.65684,80008.99094,82046.22567,84197.16054,0.1
32,0,70,0.041333623,0.0,352532.9648,365722.1601,375600.0144,382466.5633,389333.1123,397140.376,406955.1765,417317.4869,0.1
33,0,71,0.041333623,0.0,498002.9708,517059.0898,531322.7569,541228.2087,551133.6606,562428.0677,576627.9514,591620.2376,0.1
34,0,72,0.041333623,0.0,192567.3655,199694.5829,205033.8878,208747.2801,212460.6725,216676.9918,221977.2528,227573.1341,0.1
47,2,109,0.0,0.0,0.0,379769.5549,759539.1127,1139308.668,1519078.225,1898847.78,2278617.338,2658386.893,0.0
36,2,98,0.0,0.0,0.0,72721.13928,145442.2791,218163.4184,290884.5583,363605.6975,436326.8374,509047.9767,0.0
37,2,99,0.0,0.0,0.0,102043.0161,204086.0329,306129.049,408172.0659,510215.082,612258.0988,714301.1149,0.0
38,2,100,0.0,0.0,0.0,171168.0818,342336.1649,513504.2467,684672.3298,855840.4116,1027008.495,1198176.576,0.0
39,2,101,0.0,0.0,0.0,497561.8993,995123.8025,1492685.702,1990247.605,2487809.504,2985371.407,3482933.307,0.0
40,2,102,0.0,0.0,0.0,123721.5839,247443.1688,371164.7528,494886.3377,618607.9216,742329.5065,866051.0905,0.0
41,2,103,0.0,0.0,0.0,297382.5929,594765.1882,892147.7811,1189530.376,1486912.969,1784295.565,2081678.157,0.0
42,2,104,0.0,0.0,0.0,24753.57335,49507.1469,74260.72025,99014.2938,123767.8671,148521.4407,173275.014,0.0
43,2,105,0.0,0.0,0.0,244801.2537,489602.5094,734403.7632,979205.0189,1224006.273,1468807.528,1713608.782,0.0
44,2,106,0.0,0.0,0.0,9302.128974,18604.25802,27906.387,37208.51604,46510.64502,55812.77406,65114.90304,0.0
45,2,107,0.0,0.0,0.0,349891.3142,699782.6311,1049673.945,1399565.262,1749456.576,2099347.893,2449239.207,0.0
46,2,108,0.0,0.0,0.0,44295.05149,88590.10334,132885.1548,177180.2067,221475.2582,265770.31,310065.3615,0.0
48,2,110,0.0,0.0,0.0,361799.0589,723598.1207,1085397.18,1447196.241,1808995.3,2170794.362,2532593.421,0.0
49,2,111,0.0,0.0,0.0,141653.6133,283307.2278,424960.8411,566614.4556,708268.0689,849921.6834,991575.2967,0.0
50,2,112,0.0,0.0,0.0,117172.3379,234344.6768,351517.0147,468689.3536,585861.6915,703034.0303,820206.3682,0.0
51,2,113,0.0,0.0,0.0,511375.2373,1022750.479,1534125.716,2045500.957,2556876.195,3068251.436,3579626.673,0.0
52,2,114,0.0,0.0,0.0,289973.0313,579946.0648,869919.0961,1159892.13,1449865.161,1739838.194,2029811.226,0.0
53,2,115,0.0,0.0,0.0,138599.153,277198.3071,415797.4601,554396.6142,692995.7673,831594.9214,970194.0744,0.0
54,2,116,0.0,0.0,0.0,171776.9677,343553.9367,515330.9043,687107.8733,858884.841,1030661.81,1202438.778,0.0
55,2,117,0.0,0.0,0.0,20447.5743,40895.14876,61342.72307,81790.29753,102237.8718,122685.4463,143133.0206,0.0
56,2,118,0.0,0.0,0.0,68817.69831,137635.3972,206453.0955,275270.7943,344088.4926,412906.1915,481723.8898,0.0
