pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
160,SFH_SUB_1_STO_VR,28,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
161,SFH_SUB_2_STO_VR,29,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
162,SFH_SUB_3_STO_VR,30,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
163,SFH_URB_0_STO_VR,31,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
164,SFH_URB_1_STO_VR,32,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
165,SFH_URB_2_STO_VR,33,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
166,SFH_URB_3_STO_VR,34,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
167,IND_RUR_DMND_FLEX,5,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
168,IND_SUB_DMND_FLEX,6,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
169,IND_URB_DMND_FLEX,7,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
170,MFH_RUR_0_DMND_FLEX,8,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
171,MFH_RUR_1_DMND_FLEX,9,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
172,MFH_RUR_2_DMND_FLEX,10,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
173,MFH_RUR_3_DMND_FLEX,11,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
174,MFH_SUB_0_DMND_FLEX,12,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
175,MFH_SUB_1_DMND_FLEX,13,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
176,MFH_SUB_2_DMND_FLEX,14,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
177,MFH_SUB_3_DMND_FLEX,15,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
178,MFH_URB_0_DMND_FLEX,16,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
179,MFH_URB_1_DMND_FLEX,17,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
180,MFH_URB_2_DMND_FLEX,18,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
181,MFH_URB_3_DMND_FLEX,19,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
182,OCO_RUR_DMND_FLEX,20,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
183,OCO_SUB_DMND_FLEX,21,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
184,OCO_URB_DMND_FLEX,22,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
185,SFH_RUR_0_DMND_FLEX,23,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
186,SFH_RUR_1_DMND_FLEX,24,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
187,SFH_RUR_2_DMND_FLEX,25,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
188,SFH_RUR_3_DMND_FLEX,26,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
189,SFH_SUB_0_DMND_FLEX,27,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
190,SFH_SUB_1_DMND_FLEX,28,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
191,SFH_SUB_2_DMND_FLEX,29,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
192,SFH_SUB_3_DMND_FLEX,30,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
193,SFH_URB_0_DMND_FLEX,31,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
194,SFH_URB_1_DMND_FLEX,32,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
195,SFH_URB_2_DMND_FLEX,33,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
196,SFH_URB_3_DMND_FLEX,34,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
197,MFH_RUR_HT_0_HP_AW,35,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,MFH_RUR_HT_1_HP_AW,36,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,MFH_RUR_HT_2_HP_AW,37,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,MFH_RUR_HT_3_HP_AW,38,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,MFH_SUB_HT_0_HP_AW,39,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,MFH_SUB_HT_1_HP_AW,40,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
203,MFH_SUB_HT_2_HP_AW,41,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,MFH_SUB_HT_3_HP_AW,42,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,MFH_URB_HT_0_HP_AW,43,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,MFH_URB_HT_1_HP_AW,44,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207,MFH_URB_HT_2_HP_AW,45,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,MFH_URB_HT_3_HP_AW,46,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,SFH_RUR_HT_0_HP_AW,47,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,SFH_RUR_HT_1_HP_AW,48,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,SFH_RUR_HT_2_HP_AW,49,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,SFH_RUR_HT_3_HP_AW,50,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
213,SFH_SUB_HT_0_HP_AW,51,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,SFH_SUB_HT_1_HP_AW,52,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,SFH_SUB_HT_2_HP_AW,53,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,SFH_SUB_HT_3_HP_AW,54,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
