nd_id,nd_2_id,ca_id,mt_id,cap_trme_leg,cap_trmi_leg
1,13,0,11,195.0812176,195.0812176
1,14,0,0,326.4424396,326.4424396
1,14,0,1,326.4424396,326.4424396
1,14,0,2,326.4424396,326.4424396
1,14,0,3,326.4424396,326.4424396
1,14,0,4,326.4424396,326.4424396
1,14,0,5,326.4424396,326.4424396
1,14,0,6,326.4424396,326.4424396
1,14,0,7,326.4424396,326.4424396
1,14,0,8,326.4424396,326.4424396
1,14,0,9,326.4424396,326.4424396
1,14,0,10,326.4424396,326.4424396
1,14,0,11,326.4424396,326.4424396
1,15,0,0,14.7046144,14.7046144
1,15,0,1,14.7046144,14.7046144
1,15,0,2,14.7046144,14.7046144
1,15,0,3,14.7046144,14.7046144
1,15,0,4,14.7046144,14.7046144
1,15,0,5,14.7046144,14.7046144
1,15,0,6,14.7046144,14.7046144
1,15,0,7,14.7046144,14.7046144
1,15,0,8,14.7046144,14.7046144
1,15,0,9,14.7046144,14.7046144
1,15,0,10,14.7046144,14.7046144
1,15,0,11,14.7046144,14.7046144
1,21,0,0,428.8477688,428.8477688
1,21,0,1,428.8477688,428.8477688
1,21,0,2,428.8477688,428.8477688
1,21,0,3,428.8477688,428.8477688
1,21,0,4,428.8477688,428.8477688
1,21,0,5,428.8477688,428.8477688
1,21,0,6,428.8477688,428.8477688
1,21,0,7,428.8477688,428.8477688
1,21,0,8,428.8477688,428.8477688
1,21,0,9,428.8477688,428.8477688
1,21,0,10,428.8477688,428.8477688
1,21,0,11,428.8477688,428.8477688
1,27,0,0,369.6088104,369.6088104
1,27,0,1,369.6088104,369.6088104
1,27,0,2,369.6088104,369.6088104
1,27,0,3,369.6088104,369.6088104
1,27,0,4,369.6088104,369.6088104
1,27,0,5,369.6088104,369.6088104
1,27,0,6,369.6088104,369.6088104
1,27,0,7,369.6088104,369.6088104
1,27,0,8,369.6088104,369.6088104
1,27,0,9,369.6088104,369.6088104
1,27,0,10,369.6088104,369.6088104
1,27,0,11,369.6088104,369.6088104
1,28,0,0,251.8412973,251.8412973
1,28,0,1,251.8412973,251.8412973
1,28,0,2,251.8412973,251.8412973
