hy,price_pf_id,value
307.0,17,42.44
308.0,15,43.3
308.0,16,29.91
308.0,17,33.36
309.0,15,44.3
309.0,16,27.02
309.0,17,33.97
310.0,15,37.92
310.0,16,18.36
310.0,17,31.39
311.0,15,42.01
311.0,16,13.25
311.0,17,34.58
312.0,15,40.04
312.0,16,15.02
312.0,17,29.67
313.0,15,39.15
313.0,16,11.99
313.0,17,27.49
314.0,15,39.58
314.0,16,13.68
314.0,17,21.3
315.0,15,39.57
315.0,16,13.91
315.0,17,15.59
316.0,15,42.0
316.0,16,16.26
316.0,17,18.9
317.0,15,44.62
317.0,16,27.32
317.0,17,34.78
318.0,15,46.93
318.0,16,31.62
318.0,17,48.0
319.0,15,49.97
319.0,16,34.74
319.0,17,47.79
320.0,15,49.94
320.0,16,32.41
320.0,17,48.14
321.0,15,49.64
321.0,16,29.71
321.0,17,45.5
322.0,15,49.49
322.0,16,30.32
322.0,17,45.03
323.0,15,47.12
323.0,16,29.7
323.0,17,45.5
324.0,15,46.91
324.0,16,29.28
324.0,17,40.81
325.0,15,47.11
325.0,16,30.63
325.0,17,42.04
326.0,15,46.96
326.0,16,35.61
326.0,17,38.94
327.0,15,46.98
327.0,16,37.8
327.0,17,41.15
328.0,15,48.45
328.0,16,44.69
328.0,17,48.93
329.0,15,49.99
329.0,16,43.23
329.0,17,50.99
330.0,15,48.56
330.0,16,34.51
330.0,17,50.94
331.0,15,44.95
331.0,16,29.44
331.0,17,44.99
332.0,15,44.68
332.0,16,27.96
332.0,17,38.62
333.0,15,45.09
333.0,16,23.73
333.0,17,39.54
334.0,15,41.95
334.0,16,16.29
334.0,17,38.92
335.0,15,35.1
335.0,16,24.36
335.0,17,30.44
336.0,15,35.1
336.0,16,21.59
336.0,17,24.91
337.0,15,35.03
337.0,16,15.46
337.0,17,22.67
338.0,15,35.05
338.0,16,15.44
338.0,17,16.87
339.0,15,35.06
339.0,16,15.43
339.0,17,15.43
340.0,15,42.03
340.0,16,15.47
340.0,17,16.05
341.0,15,45.06
341.0,16,27.69
341.0,17,32.33
342.0,15,46.0
342.0,16,33.89
342.0,17,48.62
343.0,15,46.08
343.0,16,34.79
343.0,17,49.01
344.0,15,46.08
344.0,16,30.9
344.0,17,47.58
345.0,15,46.08
345.0,16,29.97
345.0,17,45.94
346.0,15,46.4
346.0,16,29.42
346.0,17,46.54
347.0,15,46.44
347.0,16,27.02
347.0,17,45.46
348.0,15,46.29
348.0,16,26.18
348.0,17,42.94
349.0,15,46.17
349.0,16,26.53
349.0,17,38.18
350.0,15,46.07
350.0,16,28.21
350.0,17,35.54
351.0,15,46.1
351.0,16,29.37
351.0,17,35.68
352.0,15,46.09
352.0,16,32.54
352.0,17,41.66
353.0,15,47.37
353.0,16,32.67
353.0,17,50.45
354.0,15,46.04
354.0,16,30.49
354.0,17,49.47
355.0,15,45.95
355.0,16,28.32
355.0,17,42.98
356.0,15,45.88
356.0,16,22.05
356.0,17,35.42
357.0,15,45.79
357.0,16,19.01
357.0,17,35.49
358.0,15,41.91
358.0,16,12.01
358.0,17,34.75
359.0,15,40.03
359.0,16,9.78
359.0,17,35.95
360.0,15,37.1
360.0,16,11.64
360.0,17,30.86
361.0,15,37.06
361.0,16,9.72
361.0,17,29.47
362.0,15,37.0
362.0,16,10.56
362.0,17,24.74
363.0,15,37.02
363.0,16,14.11
363.0,17,22.95
364.0,15,39.72
364.0,16,16.02
364.0,17,29.58
365.0,15,45.97
365.0,16,24.71
365.0,17,39.73
366.0,15,48.94
366.0,16,34.04
366.0,17,49.49
367.0,15,50.01
367.0,16,37.71
367.0,17,50.71
368.0,15,49.46
368.0,16,36.92
368.0,17,48.98
369.0,15,48.75
369.0,16,37.99
369.0,17,50.54
370.0,15,48.96
370.0,16,39.97
370.0,17,49.76
371.0,15,48.96
371.0,16,39.95
371.0,17,48.43
372.0,15,48.93
372.0,16,40.02
372.0,17,46.17
373.0,15,48.47
373.0,16,41.83
373.0,17,44.99
374.0,15,48.4
374.0,16,44.05
374.0,17,44.05
375.0,15,48.09
375.0,16,47.1
375.0,17,47.1
376.0,15,53.25
376.0,16,52.49
376.0,17,52.49
377.0,15,53.58
377.0,16,53.54
377.0,17,53.54
378.0,15,50.98
378.0,16,48.02
378.0,17,48.02
379.0,15,47.34
379.0,16,41.51
379.0,17,41.51
380.0,15,45.98
380.0,16,37.92
380.0,17,37.92
381.0,15,45.95
381.0,16,35.64
381.0,17,40.64
382.0,15,38.1
382.0,16,28.79
382.0,17,43.18
383.0,15,42.0
383.0,16,29.03
383.0,17,36.54
384.0,15,40.34
384.0,16,27.47
384.0,17,33.17
385.0,15,37.09
385.0,16,28.06
385.0,17,32.26
386.0,15,36.86
386.0,16,27.92
386.0,17,27.92
387.0,15,33.89
387.0,16,27.05
387.0,17,27.05
388.0,15,36.2
388.0,16,27.24
388.0,17,27.24
389.0,15,37.06
389.0,16,27.34
389.0,17,27.41
390.0,15,42.1
390.0,16,27.74
390.0,17,33.17
391.0,15,45.0
391.0,16,29.73
391.0,17,41.99
392.0,15,45.94
392.0,16,35.05
392.0,17,47.44
393.0,15,46.25
393.0,16,38.81
393.0,17,46.57
394.0,15,45.03
394.0,16,38.89
394.0,17,43.39
395.0,15,41.06
395.0,16,34.99
395.0,17,43.0
396.0,15,40.01
396.0,16,31.96
396.0,17,38.08
397.0,15,40.03
397.0,16,30.07
397.0,17,34.5
398.0,15,45.82
398.0,16,31.27
398.0,17,31.27
399.0,15,47.0
399.0,16,33.84
399.0,17,33.84
400.0,15,48.99
400.0,16,42.44
400.0,17,42.44
401.0,15,50.03
401.0,16,44.9
401.0,17,45.84
402.0,15,48.99
402.0,16,34.24
402.0,17,46.43
403.0,15,46.04
403.0,16,28.95
403.0,17,39.96
404.0,15,45.92
404.0,16,27.02
404.0,17,32.6
405.0,15,45.29
405.0,16,27.46
405.0,17,37.78
406.0,15,42.01
406.0,16,24.5
406.0,17,37.78
407.0,15,38.49
407.0,16,23.35
407.0,17,36.24
408.0,15,34.24
408.0,16,21.19
408.0,17,33.8
409.0,15,30.46
409.0,16,22.24
409.0,17,28.75
410.0,15,31.32
410.0,16,22.31
410.0,17,27.57
411.0,15,27.31
411.0,16,22.32
411.0,17,24.34
412.0,15,31.96
412.0,16,22.11
412.0,17,25.68
413.0,15,30.6
413.0,16,14.12
413.0,17,28.79
414.0,15,31.66
414.0,16,15.17
414.0,17,31.41
415.0,15,36.11
415.0,16,19.07
415.0,17,33.0
416.0,15,38.31
416.0,16,24.94
416.0,17,37.23
417.0,15,38.49
417.0,16,27.2
417.0,17,39.07
418.0,15,38.52
418.0,16,28.22
418.0,17,42.44
419.0,15,41.85
419.0,16,28.15
419.0,17,43.33
420.0,15,38.13
420.0,16,27.85
420.0,17,38.25
421.0,15,35.35
421.0,16,28.17
421.0,17,33.88
422.0,15,37.06
422.0,16,29.91
422.0,17,29.91
423.0,15,38.5
423.0,16,30.44
423.0,17,30.44
424.0,15,44.77
424.0,16,38.42
424.0,17,38.42
425.0,15,47.91
425.0,16,42.46
425.0,17,48.95
426.0,15,47.91
426.0,16,39.8
426.0,17,51.02
427.0,15,47.79
427.0,16,30.54
427.0,17,50.62
428.0,15,44.53
428.0,16,30.4
428.0,17,42.44
429.0,15,44.58
429.0,16,31.0
429.0,17,44.94
430.0,15,44.37
430.0,16,28.42
430.0,17,42.51
431.0,15,39.16
431.0,16,27.92
431.0,17,38.24
432.0,15,37.1
432.0,16,27.76
432.0,17,34.9
433.0,15,33.72
433.0,16,28.25
433.0,17,33.04
434.0,15,36.51
434.0,16,28.41
434.0,17,29.53
435.0,15,37.06
435.0,16,28.07
435.0,17,28.07
436.0,15,42.61
436.0,16,29.63
436.0,17,31.17
437.0,15,48.07
437.0,16,42.87
437.0,17,42.87
438.0,15,53.59
438.0,16,52.07
438.0,17,52.07
439.0,15,56.26
439.0,16,56.49
439.0,17,56.49
440.0,15,55.14
440.0,16,52.38
440.0,17,52.38
441.0,15,54.6
441.0,16,48.84
441.0,17,52.34
442.0,15,54.59
442.0,16,47.95
442.0,17,50.68
443.0,15,52.9
443.0,16,44.97
443.0,17,49.31
444.0,15,51.97
444.0,16,47.95
444.0,17,48.84
445.0,15,52.0
445.0,16,47.72
445.0,17,47.72
446.0,15,51.79
446.0,16,47.43
446.0,17,47.43
447.0,15,52.07
447.0,16,48.19
447.0,17,48.19
448.0,15,56.91
448.0,16,52.16
448.0,17,52.16
449.0,15,62.6
449.0,16,56.26
449.0,17,64.7
450.0,15,55.62
450.0,16,52.96
450.0,17,54.91
451.0,15,52.81
451.0,16,45.0
451.0,17,51.04
452.0,15,49.93
452.0,16,40.0
452.0,17,44.36
453.0,15,49.99
453.0,16,37.53
453.0,17,49.5
454.0,15,49.56
454.0,16,31.07
454.0,17,49.86
455.0,15,43.24
455.0,16,31.93
455.0,17,43.02
456.0,15,40.58
456.0,16,31.08
