nd_id,ca_id,hy,value
0,0,15,0.0002134302274
1,0,15,0.00016434396949999998
2,0,15,0.0001787901
3,0,15,0.000231830332
4,0,15,0.0001751976795
0,0,16,0.0002195593322
1,0,16,0.0001735709339
2,0,16,0.0001815905422
3,0,16,0.0002457845752
4,0,16,0.0001827148439
0,0,17,0.0002256884377
1,0,17,0.000182797898
2,0,17,0.0001843909845
3,0,17,0.0002597388183
4,0,17,0.0001902320079
0,0,18,0.00023181754290000001
1,0,18,0.00019202486290000002
2,0,18,0.0001871914268
3,0,18,0.000273693061
4,0,18,0.000197749172
0,0,19,0.00023834281890000003
1,0,19,0.00019722305850000002
2,0,19,0.00018780408790000002
3,0,19,0.0002762626451
4,0,19,0.0002004142841
0,0,20,0.00024486809450000003
1,0,20,0.0002024212528
2,0,20,0.00018841674900000002
3,0,20,0.000278832229
4,0,20,0.0002030793965
0,0,21,0.0002513933706
1,0,21,0.0002076194484
2,0,21,0.0001890294103
3,0,21,0.0002814018133
4,0,21,0.0002057445085
0,0,22,0.00025475221819999997
1,0,22,0.00020685399080000002
2,0,22,0.00018813790369999998
3,0,22,0.00027959599489999994
4,0,22,0.00020729113519999998
0,0,23,0.0002581110653
1,0,23,0.0002060885335
2,0,23,0.000187246397
3,0,23,0.0002777901771
4,0,23,0.00020883776169999997
0,0,24,0.0002614699133
1,0,24,0.0002053230762
2,0,24,0.0001863548904
3,0,24,0.0002759843584
4,0,24,0.00021038438830000002
0,0,25,0.00025660173
1,0,25,0.0002042536779
2,0,25,0.0001833504336
3,0,25,0.00027016724339999995
4,0,25,0.00021001042130000002
0,0,26,0.0002517335471
1,0,26,0.0002031842785
2,0,26,0.00018034597630000001
3,0,26,0.0002643501269
4,0,26,0.0002096364546
0,0,27,0.0002468653631
1,0,27,0.0002021148798
2,0,27,0.0001773415192
3,0,27,0.0002585330115
4,0,27,0.0002092624875
0,0,28,0.0002496801181
1,0,28,0.0001997826026
2,0,28,0.0001750678117
3,0,28,0.00025233527460000004
4,0,28,0.00021013891439999999
0,0,29,0.00025249487269999996
1,0,29,0.000197450324
2,0,29,0.0001727941041
3,0,29,0.0002461375368
4,0,29,0.0002110153414
0,0,30,0.0002553096274
1,0,30,0.0001951180465
2,0,30,0.00017052039659999998
3,0,30,0.0002399398005
4,0,30,0.0002118917683
0,0,31,0.00024228505300000002
1,0,31,0.0001878641659
2,0,31,0.0001657780201
3,0,31,0.000230325702
4,0,31,0.00020364622569999998
0,0,32,0.00022926047869999998
1,0,32,0.0001806102855
2,0,32,0.00016103564340000002
3,0,32,0.0002207116041
4,0,32,0.0001954006831
0,0,33,0.0002162359044
1,0,33,0.0001733564047
